"","X","sample_ID","upper_depth","lower_depth","SOC_stock_spline","site","geomorphons","HLI","Precip","Temp","WIP","tree_canopy_cover","NDVI_median","MNDWI_median","EVI_median","SCI_median","SAVI_median","EMBI_median","DSI_median","DSWI1_median","NDYI_median","LSWI_median","ANDWI_median","LITHOLOGY","GEOLOGIC_AGE"
"1",1,"CC_S26_R3",0,30,0.163633385761882,"COL","f",0.848978221416473,628.773864746094,6.66294002532959,0.208581998944283,31.0043277740479,0.537032663822174,-0.517303943634033,0.292038589715958,0.510576963424683,0.28956064581871,0.187812149524689,0.919578790664673,1.15721559524536,0.225628048181534,0.0555638484656811,-0.538735091686249,"continental glacial outwash, Fraser-age","Pleistocene"
"2",2,"CC_S26_R3",30,100,0.0724819127480543,"COL","f",0.848978221416473,628.773864746094,6.66294002532959,0.208581998944283,31.0043277740479,0.537032663822174,-0.517303943634033,0.292038589715958,0.510576963424683,0.28956064581871,0.187812149524689,0.919578790664673,1.15721559524536,0.225628048181534,0.0555638484656811,-0.538735091686249,"continental glacial outwash, Fraser-age","Pleistocene"
"3",3,"CC_S27_R3",0,30,0.612629737539834,"COL","i",0.502378821372986,664.216674804688,6.02921533584595,0.12714672088623,56.0273551940918,0.738599717617035,-0.554326415061951,0.387203007936478,0.616341590881348,0.382943570613861,0.161748170852661,0.625278115272522,1.60680592060089,0.359540164470673,0.231429293751717,-0.642513573169708,"continental glacial outwash, Fraser-age","Pleistocene"
"4",4,"CC_S27_R3",30,100,0.368310549172617,"COL","i",0.502378821372986,664.216674804688,6.02921533584595,0.12714672088623,56.0273551940918,0.738599717617035,-0.554326415061951,0.387203007936478,0.616341590881348,0.382943570613861,0.161748170852661,0.625278115272522,1.60680592060089,0.359540164470673,0.231429293751717,-0.642513573169708,"continental glacial outwash, Fraser-age","Pleistocene"
"5",5,"CC_S3_R3",0,30,0.406818143713218,"COL","i",0.615643739700317,622.542236328125,6.85989570617676,0.88662326335907,16.9498481750488,0.760513544082642,-0.551367819309235,0.511271893978119,0.641127943992615,0.483027160167694,0.150418266654015,0.596305191516876,1.69083654880524,0.332252770662308,0.254296272993088,-0.652186989784241,"alluvium","Quaternary"
"6",6,"CC_S3_R3",30,100,0.101907171918624,"COL","i",0.615643739700317,622.542236328125,6.85989570617676,0.88662326335907,16.9498481750488,0.760513544082642,-0.551367819309235,0.511271893978119,0.641127943992615,0.483027160167694,0.150418266654015,0.596305191516876,1.69083654880524,0.332252770662308,0.254296272993088,-0.652186989784241,"alluvium","Quaternary"
"7",7,"CC_S6_R2",0,30,0.201553147336582,"COL","j",0.674413979053497,622.542236328125,6.85989570617676,0.805264294147491,24.7631721496582,0.755472362041473,-0.560211181640625,0.471073299646378,0.641609966754913,0.455516666173935,0.183279991149902,0.623776137828827,1.65268933773041,0.319585114717484,0.237694010138512,-0.65099048614502,"alluvium","Quaternary"
"8",8,"CC_S6_R2",30,100,0.0621385655663795,"COL","j",0.674413979053497,622.542236328125,6.85989570617676,0.805264294147491,24.7631721496582,0.755472362041473,-0.560211181640625,0.471073299646378,0.641609966754913,0.455516666173935,0.183279991149902,0.623776137828827,1.65268933773041,0.319585114717484,0.237694010138512,-0.65099048614502,"alluvium","Quaternary"
"9",9,"CC-07-R1",0,30,0.450964035483529,"COL","i",0.494373559951782,632.814514160156,6.884840965271,0.738847315311432,45.766674041748,0.801599264144897,-0.542501866817474,0.486036092042923,0.649361431598663,0.464745461940765,0.127319052815437,0.519649863243103,1.92594170570374,0.335349559783936,0.316215485334396,-0.671950995922089,"alluvium","Quaternary"
"10",10,"CC-07-R1",30,100,0.276814381291211,"COL","i",0.494373559951782,632.814514160156,6.884840965271,0.738847315311432,45.766674041748,0.801599264144897,-0.542501866817474,0.486036092042923,0.649361431598663,0.464745461940765,0.127319052815437,0.519649863243103,1.92594170570374,0.335349559783936,0.316215485334396,-0.671950995922089,"alluvium","Quaternary"
